inspection_id,property_id,inspection_date,inspection_result,follow_up_required,notes
1,56,3/4/2024,Pass,FALSE,"Slight rusting on balcony railing, maintenance advised."
2,101,4/10/2024,Pass,TRUE,"Signs of water damage in basement, further inspection suggested."
3,956,3/7/2024,Pass,FALSE,"All standards met, no further action required."
4,695,3/6/2024,Pass,TRUE,"Small crack in living room wall, does not affect structure."
5,640,4/15/2024,Pass,FALSE,"All standards met, no further action required."
6,164,6/25/2023,Pass,TRUE,"Minor wear and tear observed, nothing critical."
7,505,6/17/2023,Pass,FALSE,"All standards met, no further action required."
8,835,9/26/2023,Fail,TRUE,"Major plumbing issues detected, immediate repair required."
9,552,8/26/2023,Pass,FALSE,"Minor wear and tear observed, nothing critical."
10,432,8/11/2023,Pass,FALSE,"All standards met, no further action required."
11,353,12/20/2023,Pass,TRUE,"Leaky faucet in bathroom, easy to fix."
12,739,11/8/2023,Pass,FALSE,"All standards met, no further action required."
13,738,12/22/2023,Fail,TRUE,"Significant mold growth in several rooms, health hazard present."
14,708,10/15/2023,Pass,FALSE,"All standards met, no further action required."
15,952,3/31/2024,Pass,FALSE,"All standards met, no further action required."
16,913,1/11/2024,Pass,TRUE,"Slight rusting on balcony railing, maintenance advised."
17,477,8/24/2023,Pass,FALSE,"All standards met, no further action required."
18,118,8/3/2023,Pass,FALSE,"All standards met, no further action required."
19,149,4/25/2024,Pass,FALSE,"All standards met, no further action required."
20,412,3/20/2024,Pass,FALSE,"All standards met, no further action required."
21,426,3/8/2024,Pass,FALSE,"All standards met, no further action required."
22,356,12/21/2023,Pass,FALSE,"Leaky faucet in bathroom, easy to fix."
23,537,2/26/2024,Pass,FALSE,"All standards met, no further action required."
24,422,12/2/2023,Fail,TRUE,"Significant mold growth in several rooms, health hazard present."
25,550,5/17/2024,Pass,FALSE,"Small crack in living room wall, does not affect structure."
26,581,1/1/2024,Pass,FALSE,"All standards met, no further action required."
27,253,1/29/2024,Pass,TRUE,"Small crack in living room wall, does not affect structure."
28,474,4/25/2024,Pass,FALSE,"All standards met, no further action required."
29,350,1/27/2024,Pass,FALSE,"All standards met, no further action required."
30,742,11/2/2023,Pass,FALSE,"Minor wear and tear observed, nothing critical."
31,107,5/26/2024,Pass,FALSE,"All standards met, no further action required."
32,70,9/21/2023,Pass,FALSE,"All standards met, no further action required."
33,964,6/9/2023,Pass,FALSE,"All standards met, no further action required."
34,675,1/19/2024,Pass,FALSE,"Signs of water damage in basement, further inspection suggested."
35,559,10/21/2023,Fail,TRUE,"Significant mold growth in several rooms, health hazard present."
36,287,9/3/2023,Pass,FALSE,"All standards met, no further action required."
37,370,4/24/2024,Pass,FALSE,"All standards met, no further action required."
38,12,6/19/2023,Fail,TRUE,"Significant mold growth in several rooms, health hazard present."
39,70,9/19/2023,Pass,FALSE,"All standards met, no further action required."
40,953,11/18/2023,Fail,TRUE,"Significant mold growth in several rooms, health hazard present."
41,955,6/10/2023,Fail,TRUE,"Major plumbing issues detected, immediate repair required."
42,757,6/5/2023,Pass,FALSE,"All standards met, no further action required."
43,346,11/19/2023,Pass,FALSE,"All standards met, no further action required."
44,546,7/9/2023,Pass,FALSE,"Minor wear and tear observed, nothing critical."
45,157,9/11/2023,Fail,TRUE,Structural damage poses safety risks to occupants.
46,56,9/21/2023,Pass,FALSE,"Signs of water damage in basement, further inspection suggested."
47,350,8/12/2023,Pass,FALSE,"All standards met, no further action required."
48,360,2/15/2024,Pass,FALSE,"All standards met, no further action required."
49,797,5/18/2024,Pass,FALSE,"All standards met, no further action required."
50,733,3/17/2024,Pass,TRUE,"Leaky faucet in bathroom, easy to fix."
51,800,8/26/2023,Pass,FALSE,"All standards met, no further action required."
52,112,11/12/2023,Fail,TRUE,Structural damage poses safety risks to occupants.
53,991,8/31/2023,Fail,TRUE,"Major plumbing issues detected, immediate repair required."
54,577,10/15/2023,Pass,FALSE,"All standards met, no further action required."
55,722,1/2/2024,Pass,FALSE,"Small crack in living room wall, does not affect structure."
56,806,12/28/2023,Pass,FALSE,"All standards met, no further action required."
57,680,10/21/2023,Pass,TRUE,"Slight rusting on balcony railing, maintenance advised."
58,395,3/9/2024,Pass,TRUE,"Small crack in living room wall, does not affect structure."
59,750,5/1/2024,Fail,TRUE,"Severe electrical issues found, high risk of fire hazard."
60,97,10/30/2023,Pass,FALSE,"All standards met, no further action required."
61,62,12/15/2023,Fail,TRUE,Structural damage poses safety risks to occupants.
62,805,8/27/2023,Pass,FALSE,"All standards met, no further action required."
63,123,11/22/2023,Pass,FALSE,"All standards met, no further action required."
64,286,4/20/2024,Pass,FALSE,"All standards met, no further action required."
65,693,6/26/2023,Pass,FALSE,"All standards met, no further action required."
66,453,10/28/2023,Pass,FALSE,"All standards met, no further action required."
67,758,3/2/2024,Pass,FALSE,"All standards met, no further action required."
68,121,5/23/2024,Pass,FALSE,"All standards met, no further action required."
69,590,10/7/2023,Fail,TRUE,"Major plumbing issues detected, immediate repair required."
70,257,10/23/2023,Pass,FALSE,"All standards met, no further action required."
71,311,4/10/2024,Pass,FALSE,"All standards met, no further action required."
72,843,7/20/2023,Pass,TRUE,"Leaky faucet in bathroom, easy to fix."
73,403,4/4/2024,Fail,TRUE,"Severe electrical issues found, high risk of fire hazard."
74,83,5/18/2024,Pass,FALSE,"Small crack in living room wall, does not affect structure."
75,582,2/27/2024,Pass,FALSE,"All standards met, no further action required."
76,259,11/25/2023,Pass,FALSE,"All standards met, no further action required."
77,560,9/1/2023,Pass,FALSE,"All standards met, no further action required."
78,143,9/6/2023,Fail,TRUE,"Significant mold growth in several rooms, health hazard present."
79,989,4/16/2024,Pass,FALSE,"All standards met, no further action required."
80,368,11/27/2023,Pass,FALSE,"Slight rusting on balcony railing, maintenance advised."
81,247,1/2/2024,Pass,FALSE,"All standards met, no further action required."
82,241,5/14/2024,Pass,TRUE,"Small crack in living room wall, does not affect structure."
83,887,7/25/2023,Pass,FALSE,"All standards met, no further action required."
84,86,9/11/2023,Pass,FALSE,"All standards met, no further action required."
85,850,2/7/2024,Pass,FALSE,"Leaky faucet in bathroom, easy to fix."
86,656,10/12/2023,Pass,FALSE,"All standards met, no further action required."
87,457,12/19/2023,Pass,FALSE,"All standards met, no further action required."
88,554,7/31/2023,Pass,FALSE,"All standards met, no further action required."
89,433,9/23/2023,Pass,FALSE,"All standards met, no further action required."
90,79,3/3/2024,Pass,FALSE,"All standards met, no further action required."
91,785,9/7/2023,Pass,TRUE,"Slight rusting on balcony railing, maintenance advised."
92,821,11/13/2023,Pass,FALSE,"All standards met, no further action required."
93,1,10/7/2023,Pass,TRUE,"Slight rusting on balcony railing, maintenance advised."
94,116,8/27/2023,Fail,TRUE,"Major plumbing issues detected, immediate repair required."
95,806,12/19/2023,Pass,FALSE,"All standards met, no further action required."
96,758,6/6/2023,Pass,FALSE,"Signs of water damage in basement, further inspection suggested."
97,339,1/26/2024,Pass,TRUE,"Small crack in living room wall, does not affect structure."
98,992,10/22/2023,Pass,FALSE,"All standards met, no further action required."
99,746,3/1/2024,Pass,FALSE,"All standards met, no further action required."
100,410,2/1/2024,Pass,TRUE,"Minor wear and tear observed, nothing critical."
101,617,6/9/2023,Pass,FALSE,"All standards met, no further action required."
102,266,12/31/2023,Pass,FALSE,"All standards met, no further action required."
103,555,11/10/2023,Pass,FALSE,"All standards met, no further action required."
104,476,6/28/2023,Pass,FALSE,"All standards met, no further action required."
105,656,2/15/2024,Pass,FALSE,"All standards met, no further action required."
106,553,2/16/2024,Fail,TRUE,"Major plumbing issues detected, immediate repair required."
107,696,10/16/2023,Pass,FALSE,"All standards met, no further action required."
108,585,2/14/2024,Pass,FALSE,"Signs of water damage in basement, further inspection suggested."
109,67,7/7/2023,Pass,TRUE,"Leaky faucet in bathroom, easy to fix."
110,917,12/13/2023,Pass,FALSE,"All standards met, no further action required."
111,674,4/5/2024,Pass,FALSE,"All standards met, no further action required."
112,968,7/12/2023,Fail,TRUE,"Significant mold growth in several rooms, health hazard present."
113,328,1/3/2024,Pass,FALSE,"All standards met, no further action required."
114,973,7/20/2023,Pass,FALSE,"All standards met, no further action required."
115,245,10/21/2023,Pass,FALSE,"All standards met, no further action required."
116,735,12/2/2023,Pass,FALSE,"All standards met, no further action required."
117,174,2/28/2024,Fail,TRUE,"Severe electrical issues found, high risk of fire hazard."
118,438,10/4/2023,Pass,FALSE,"All standards met, no further action required."
119,995,12/5/2023,Pass,FALSE,"All standards met, no further action required."
120,828,11/13/2023,Pass,TRUE,"Slight rusting on balcony railing, maintenance advised."
121,643,8/22/2023,Fail,TRUE,"Heating system failure during winter, urgent replacement needed."
122,181,12/10/2023,Pass,FALSE,"All standards met, no further action required."
123,658,11/10/2023,Pass,FALSE,"Slight rusting on balcony railing, maintenance advised."
124,37,2/6/2024,Pass,FALSE,"Signs of water damage in basement, further inspection suggested."
125,495,5/20/2024,Pass,FALSE,"All standards met, no further action required."
126,310,12/4/2023,Fail,TRUE,"Significant mold growth in several rooms, health hazard present."
127,586,6/9/2023,Pass,FALSE,"All standards met, no further action required."
128,765,11/15/2023,Pass,FALSE,"Signs of water damage in basement, further inspection suggested."
129,374,9/28/2023,Fail,TRUE,"Severe electrical issues found, high risk of fire hazard."
130,108,2/14/2024,Pass,FALSE,"All standards met, no further action required."
131,836,8/13/2023,Pass,FALSE,"Small crack in living room wall, does not affect structure."
132,502,8/25/2023,Pass,FALSE,"All standards met, no further action required."
133,757,12/23/2023,Pass,FALSE,"All standards met, no further action required."
134,684,11/2/2023,Pass,FALSE,"Small crack in living room wall, does not affect structure."
135,371,10/22/2023,Pass,FALSE,"All standards met, no further action required."
136,13,8/31/2023,Pass,FALSE,"Signs of water damage in basement, further inspection suggested."
137,642,4/22/2024,Pass,FALSE,"All standards met, no further action required."
138,589,4/26/2024,Pass,FALSE,"All standards met, no further action required."
139,739,5/10/2024,Pass,FALSE,"All standards met, no further action required."
140,851,1/24/2024,Pass,FALSE,"Slight rusting on balcony railing, maintenance advised."
141,164,2/26/2024,Pass,FALSE,"All standards met, no further action required."
142,825,7/20/2023,Fail,TRUE,"Heating system failure during winter, urgent replacement needed."
143,686,6/27/2023,Pass,FALSE,"All standards met, no further action required."
144,355,6/11/2023,Pass,FALSE,"Slight rusting on balcony railing, maintenance advised."
145,468,10/30/2023,Pass,FALSE,"All standards met, no further action required."
146,706,6/19/2023,Pass,FALSE,"All standards met, no further action required."
147,119,12/1/2023,Pass,TRUE,"Slight rusting on balcony railing, maintenance advised."
148,750,3/3/2024,Pass,FALSE,"All standards met, no further action required."
149,776,2/10/2024,Pass,FALSE,"All standards met, no further action required."
150,998,10/3/2023,Pass,TRUE,"Slight rusting on balcony railing, maintenance advised."
151,100,7/28/2023,Pass,FALSE,"All standards met, no further action required."
152,85,11/28/2023,Pass,FALSE,"All standards met, no further action required."
153,530,8/5/2023,Fail,TRUE,"Severe electrical issues found, high risk of fire hazard."
154,707,10/17/2023,Fail,TRUE,"Major plumbing issues detected, immediate repair required."
155,377,6/11/2023,Pass,FALSE,"All standards met, no further action required."
156,131,10/11/2023,Pass,FALSE,"All standards met, no further action required."
157,446,8/21/2023,Pass,FALSE,"All standards met, no further action required."
158,543,6/2/2023,Pass,FALSE,"All standards met, no further action required."
159,814,3/22/2024,Pass,FALSE,"All standards met, no further action required."
160,163,4/5/2024,Pass,FALSE,"Minor wear and tear observed, nothing critical."
161,389,11/26/2023,Pass,FALSE,"All standards met, no further action required."
162,799,7/16/2023,Pass,FALSE,"Minor wear and tear observed, nothing critical."
163,381,7/9/2023,Pass,FALSE,"All standards met, no further action required."
164,31,9/30/2023,Pass,TRUE,"Small crack in living room wall, does not affect structure."
165,816,7/25/2023,Fail,TRUE,"Significant mold growth in several rooms, health hazard present."
166,132,12/25/2023,Fail,TRUE,"Significant mold growth in several rooms, health hazard present."
167,653,4/21/2024,Pass,TRUE,"Leaky faucet in bathroom, easy to fix."
168,307,3/16/2024,Pass,FALSE,"All standards met, no further action required."
169,898,1/3/2024,Pass,FALSE,"All standards met, no further action required."
170,902,2/29/2024,Pass,FALSE,"All standards met, no further action required."
171,314,11/18/2023,Pass,TRUE,"Leaky faucet in bathroom, easy to fix."
172,637,7/3/2023,Pass,FALSE,"All standards met, no further action required."
173,950,7/6/2023,Pass,FALSE,"All standards met, no further action required."
174,440,8/17/2023,Pass,FALSE,"All standards met, no further action required."
175,216,7/27/2023,Pass,TRUE,"Signs of water damage in basement, further inspection suggested."
176,228,2/7/2024,Pass,FALSE,"All standards met, no further action required."
177,650,5/29/2024,Pass,FALSE,"All standards met, no further action required."
178,698,5/12/2024,Pass,FALSE,"Leaky faucet in bathroom, easy to fix."
179,269,2/29/2024,Fail,TRUE,"Severe electrical issues found, high risk of fire hazard."
180,832,4/6/2024,Pass,FALSE,"All standards met, no further action required."
181,553,11/21/2023,Pass,FALSE,"All standards met, no further action required."
182,359,3/31/2024,Pass,FALSE,"All standards met, no further action required."
183,985,7/8/2023,Pass,FALSE,"All standards met, no further action required."
184,876,7/2/2023,Pass,FALSE,"Leaky faucet in bathroom, easy to fix."
185,423,7/24/2023,Pass,FALSE,"Slight rusting on balcony railing, maintenance advised."
186,408,3/1/2024,Pass,FALSE,"All standards met, no further action required."
187,309,3/24/2024,Pass,FALSE,"All standards met, no further action required."
188,259,4/9/2024,Pass,TRUE,"Leaky faucet in bathroom, easy to fix."
189,383,11/10/2023,Pass,FALSE,"All standards met, no further action required."
190,497,12/12/2023,Pass,TRUE,"Minor wear and tear observed, nothing critical."
191,492,11/12/2023,Fail,TRUE,"Major plumbing issues detected, immediate repair required."
192,285,7/19/2023,Pass,FALSE,"Minor wear and tear observed, nothing critical."
193,782,3/8/2024,Pass,FALSE,"All standards met, no further action required."
194,514,3/25/2024,Pass,FALSE,"All standards met, no further action required."
195,331,6/6/2023,Pass,FALSE,"All standards met, no further action required."
196,249,7/23/2023,Pass,FALSE,"All standards met, no further action required."
197,671,7/9/2023,Pass,FALSE,"All standards met, no further action required."
198,77,2/6/2024,Pass,FALSE,"All standards met, no further action required."
199,572,3/11/2024,Fail,TRUE,Structural damage poses safety risks to occupants.
200,937,11/3/2023,Pass,FALSE,"All standards met, no further action required."
201,948,11/20/2023,Pass,FALSE,"All standards met, no further action required."
202,182,10/2/2023,Pass,FALSE,"All standards met, no further action required."
203,379,4/20/2024,Pass,TRUE,"Minor wear and tear observed, nothing critical."
204,142,8/10/2023,Pass,FALSE,"All standards met, no further action required."
205,46,12/16/2023,Pass,FALSE,"All standards met, no further action required."
206,360,10/5/2023,Pass,FALSE,"All standards met, no further action required."
207,30,1/3/2024,Pass,FALSE,"All standards met, no further action required."
208,405,8/20/2023,Pass,FALSE,"All standards met, no further action required."
209,684,1/2/2024,Pass,TRUE,"Slight rusting on balcony railing, maintenance advised."
210,88,2/14/2024,Pass,FALSE,"All standards met, no further action required."
211,51,11/7/2023,Pass,FALSE,"All standards met, no further action required."
212,962,4/15/2024,Pass,TRUE,"Signs of water damage in basement, further inspection suggested."
213,129,4/29/2024,Fail,TRUE,Structural damage poses safety risks to occupants.
214,544,8/26/2023,Pass,FALSE,"Small crack in living room wall, does not affect structure."
215,253,4/25/2024,Pass,FALSE,"All standards met, no further action required."
216,108,4/10/2024,Pass,FALSE,"All standards met, no further action required."
217,364,3/28/2024,Pass,TRUE,"Small crack in living room wall, does not affect structure."
218,961,9/20/2023,Pass,TRUE,"Minor wear and tear observed, nothing critical."
219,298,1/25/2024,Pass,FALSE,"Minor wear and tear observed, nothing critical."
220,821,5/18/2024,Pass,FALSE,"All standards met, no further action required."
221,65,6/21/2023,Fail,TRUE,"Significant mold growth in several rooms, health hazard present."
222,289,8/20/2023,Pass,FALSE,"All standards met, no further action required."
223,291,12/10/2023,Fail,TRUE,"Major plumbing issues detected, immediate repair required."
224,579,12/1/2023,Pass,FALSE,"Slight rusting on balcony railing, maintenance advised."
225,206,4/6/2024,Pass,FALSE,"All standards met, no further action required."
226,979,4/1/2024,Pass,FALSE,"All standards met, no further action required."
227,805,10/17/2023,Fail,TRUE,"Severe electrical issues found, high risk of fire hazard."
228,306,5/16/2024,Pass,FALSE,"All standards met, no further action required."
229,783,4/24/2024,Pass,FALSE,"All standards met, no further action required."
230,559,10/18/2023,Pass,FALSE,"All standards met, no further action required."
231,48,3/25/2024,Fail,TRUE,"Major plumbing issues detected, immediate repair required."
232,608,5/9/2024,Pass,FALSE,"All standards met, no further action required."
233,336,9/26/2023,Pass,FALSE,"All standards met, no further action required."
234,807,12/29/2023,Pass,FALSE,"All standards met, no further action required."
235,461,2/11/2024,Pass,FALSE,"All standards met, no further action required."
236,433,3/28/2024,Pass,FALSE,"All standards met, no further action required."
237,962,10/4/2023,Fail,TRUE,"Severe electrical issues found, high risk of fire hazard."
238,8,8/5/2023,Pass,FALSE,"All standards met, no further action required."
239,286,4/28/2024,Pass,FALSE,"All standards met, no further action required."
240,154,12/29/2023,Pass,FALSE,"Signs of water damage in basement, further inspection suggested."
241,147,2/15/2024,Fail,TRUE,"Significant mold growth in several rooms, health hazard present."
242,182,7/7/2023,Pass,FALSE,"All standards met, no further action required."
243,511,1/31/2024,Pass,FALSE,"All standards met, no further action required."
244,314,7/3/2023,Pass,FALSE,"Minor wear and tear observed, nothing critical."
245,146,8/3/2023,Pass,FALSE,"All standards met, no further action required."
246,475,6/25/2023,Pass,FALSE,"All standards met, no further action required."
247,449,12/13/2023,Pass,FALSE,"All standards met, no further action required."
248,490,6/17/2023,Pass,TRUE,"Slight rusting on balcony railing, maintenance advised."
249,625,4/8/2024,Pass,FALSE,"All standards met, no further action required."
